,Point_ID,LC,LC0_Desc,LC1_Desc,LU1_Desc,x,y,system:index,B1,B1_1,B1_10,B1_11,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B2,B2_1,B2_10,B2_11,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B3,B3_1,B3_10,B3_11,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B4,B4_1,B4_10,B4_11,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5,B5_1,B5_10,B5_11,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B6,B6_1,B6_10,B6_11,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B7,B7_1,B7_10,B7_11,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_9,.geo
18,26841758,F40,Bareland,Other bare soil,Fallow land,-8.46669349,37.1082318,000000000000000038e9,481.5,495.0,615.0,1431.0,,1139.5,,1089.0,1172.0,,859.0,720.5,800.0,1098.0,1828.0,,1800.0,,1848.5,1953.0,,1471.0,565.0,606.0,1153.0,1658.0,,2492.5,,2721.5,2843.0,,2157.0,2832.5,3077.0,4021.0,3770.0,,3548.5,,3617.0,3626.0,,2754.0,1605.0,1752.0,2590.0,2233.0,,4924.0,,4954.5,4775.0,,4082.0,2861.5,2892.0,2913.0,2747.0,,3070.0,,3120.5,3063.0,,3000.0,891.0,925.0,1483.0,1438.0,,3787.0,,3830.5,3752.0,,3098.0,"{""type"":""Point"",""coordinates"":[-8.46669349,37.1082318]}"
20,26841826,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-8.63084954,37.70546324,000000000000000038eb,483.0,356.0,1108.0,,,715.0,692.0,902.0,1010.5,5601.0,865.0,1011.0,645.0,1405.5,,,1175.0,1139.0,1496.0,1575.5,5689.0,1330.0,1572.0,577.0,1554.5,,,1682.0,1701.0,2282.0,2406.5,5851.0,1939.5,2341.0,3544.0,2687.5,,,2907.0,2449.0,3194.0,3355.0,6206.0,2636.5,2815.0,1828.0,3022.5,,,2776.0,3357.0,4346.0,4633.0,4633.0,4209.5,2864.0,2870.0,2819.0,,,3044.0,3136.0,3118.0,3074.5,2570.0,3028.5,2082.0,890.0,2083.0,,,1628.0,2222.0,2836.0,3047.5,3415.0,2933.0,"{""type"":""Point"",""coordinates"":[-8.63084954,37.70546324]}"
36,27001936,F40,Bareland,Other bare soil,Fallow land,-8.72628189,38.70516812,000000000000000038fb,591.0,,635.0,1026.0,20000.0,1153.0,1201.0,1185.0,1196.5,1207.0,1056.0,1008.0,,1089.0,1309.0,20000.0,1663.0,1804.0,1724.0,1758.0,1777.0,1507.0,1147.0,,1187.0,1373.0,20000.0,2156.0,2330.5,2177.0,2258.5,2243.0,1938.0,2663.0,,2792.0,2835.0,7599.0,3494.0,3547.0,3699.0,3498.0,3079.0,2661.0,2359.0,,2844.0,2262.0,5131.0,4217.0,4277.5,4176.0,3996.5,3825.0,3648.0,2847.0,,2934.0,2766.0,2696.0,3025.5,3095.0,3049.0,3077.0,3010.0,2934.0,1605.0,,2032.0,1781.0,3713.0,3341.5,3517.5,3253.0,3170.0,3080.0,3020.0,"{""type"":""Point"",""coordinates"":[-8.72628189,38.70516812]}"
49,27101940,F40,Bareland,Other bare soil,Fallow land,-8.62443932,38.76226676,00000000000000003908,437.0,,334.0,682.0,2856.0,1265.5,475.5,680.0,716.5,764.0,,665.0,,581.0,850.0,3288.0,1554.5,741.5,972.5,953.0,1010.0,,723.0,,437.0,755.0,3299.0,1662.0,811.5,1145.5,1071.5,1145.0,,2254.0,,2718.0,2745.0,5087.0,3569.5,2896.5,2763.5,2748.5,2332.0,,1935.0,,1685.0,1550.0,3647.0,3036.5,2556.5,2763.0,3010.0,2824.0,,2847.0,,2918.0,2807.0,2741.0,2900.0,3039.0,3031.5,3046.0,2985.0,,1124.0,,738.0,887.0,2506.0,2098.0,1463.0,2002.0,2129.5,2071.0,,"{""type"":""Point"",""coordinates"":[-8.62443932,38.76226676]}"
89,27321784,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-8.0014154,37.4399432,00000000000000003930,323.0,433.0,565.0,1910.0,,641.0,894.0,848.0,1024.0,4610.0,860.0,683.0,743.0,773.0,2117.0,,912.5,1405.0,1432.0,1481.5,4775.0,1245.0,624.0,587.0,848.0,2156.0,,1273.0,2032.0,2100.0,2071.5,5021.0,1774.0,2484.0,3520.0,1686.0,2989.0,,2302.5,2852.0,2988.0,2785.5,5282.0,2346.0,1834.0,1798.0,2491.0,2578.0,,2827.0,4117.0,4150.0,3753.0,4860.0,3698.0,2830.0,2875.0,2913.0,2628.0,,3051.0,3189.0,3123.0,3000.5,2784.0,3010.0,1044.0,876.0,1745.0,1948.0,,1878.0,2775.0,2773.0,2535.0,3858.0,2760.0,"{""type"":""Point"",""coordinates"":[-8.0014154,37.4399432]}"
200,27802116,F40,Bareland,Other bare soil,Forestry,-8.27896245,40.45639412,0000000000000000399f,202.5,396.0,934.0,856.5,,768.0,883.5,1006.0,930.0,900.5,843.0,304.0,439.0,1250.0,1222.0,,1319.0,1372.5,1527.5,1463.5,1326.0,1330.0,323.5,433.0,1390.0,1430.0,,1779.0,1830.5,1981.5,1830.5,1686.5,1730.0,2450.5,2371.0,2214.0,2478.5,,2603.0,2703.0,2769.5,2712.5,2505.5,2512.0,1063.0,1268.0,2426.0,2923.5,,3901.0,3777.5,3906.0,3693.5,3219.5,3341.0,2804.0,2813.0,2881.0,2827.5,,3095.0,3074.5,3046.5,3074.0,3006.5,2950.0,355.5,605.0,1861.0,2150.0,,3160.0,3050.0,3000.5,2780.5,2470.0,2441.0,"{""type"":""Point"",""coordinates"":[-8.27896245,40.45639412]}"
297,28082404,F40,Bareland,Other bare soil,Forestry,-8.73123893,43.03246401,00000000000000003a00,,466.0,,1219.0,493.0,1324.5,781.5,,20000.0,570.0,607.0,,488.0,,1198.0,706.0,1535.5,1076.5,,20000.0,762.0,838.0,,404.0,,1352.0,931.0,1785.0,1497.5,,20000.0,1013.0,1108.5,,2207.5,,2376.0,2230.0,3105.5,2901.5,,7289.0,1902.0,2015.0,,940.0,,3253.0,2581.0,3428.5,3921.5,,4757.0,3318.0,3339.0,,2787.0,,2847.0,2970.0,2949.5,3062.5,,2728.0,3044.0,2926.5,,498.5,,2387.0,1492.0,2370.5,2647.0,,3145.0,2471.0,2382.5,"{""type"":""Point"",""coordinates"":[-8.73123893,43.03246401]}"
303,28102276,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-8.35292896,41.9205438,00000000000000003a06,1087.0,543.0,639.0,796.0,,523.0,524.0,10208.5,1439.0,617.5,560.0,1254.0,795.0,858.0,967.0,,772.0,772.0,2127.5,1610.0,841.5,713.0,1369.0,881.0,1021.0,1069.0,,693.0,842.0,2190.0,1773.0,863.5,798.0,2459.0,1973.0,2429.0,2283.0,,2604.0,2800.0,3319.0,3047.0,2492.5,2267.0,3085.0,2966.0,3647.0,3266.0,,2835.0,2983.0,2917.5,3457.5,3225.5,3224.0,2790.0,2813.0,2918.0,2836.0,,3020.0,3020.0,2840.5,2920.0,2952.0,2924.0,2277.0,2034.0,2497.0,2449.0,,1792.0,1914.0,2050.0,2602.5,2155.5,2235.0,"{""type"":""Point"",""coordinates"":[-8.35292896,41.9205438]}"
315,28181874,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.25722835,38.41119899,00000000000000003a12,355.0,355.0,789.0,1709.0,,574.5,913.0,1054.0,2453.0,,1084.0,683.0,582.0,978.0,1892.0,,883.0,1403.0,1717.0,2921.0,,1628.0,505.0,594.0,1037.0,2005.0,,1175.5,2199.0,2613.0,3435.5,,2337.0,3153.0,2987.0,1498.0,3109.0,,2569.0,3325.0,3872.0,4184.5,,3173.0,1574.0,1576.0,1550.0,2947.0,,2482.0,4112.0,4545.0,3414.5,,4288.0,2807.0,2864.0,2870.0,2735.0,,3034.0,3163.0,3141.0,2840.5,,3000.0,707.0,684.0,1274.0,2259.0,,1486.0,2570.0,2861.0,2072.5,,2806.0,"{""type"":""Point"",""coordinates"":[-7.25722835,38.41119899]}"
330,28202160,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-7.93082664,40.92757979,00000000000000003a21,467.0,426.5,351.5,488.0,,384.0,400.0,466.5,507.0,869.5,,602.5,544.0,495.0,634.0,,709.5,648.5,672.5,691.0,993.5,,611.5,586.5,511.5,579.0,,808.0,711.0,817.0,805.5,1092.0,,1576.5,1613.5,1440.0,1532.0,,2299.5,2125.5,1857.5,1569.5,1747.5,,1567.5,1802.5,1876.5,2014.0,,2030.0,2259.5,2372.0,2376.5,2274.5,,2798.5,2825.0,2918.0,2813.0,,2985.0,3005.0,3024.5,3072.0,2944.0,,879.5,1121.5,1176.0,1234.0,,1329.0,1495.5,1508.0,1636.0,1684.5,,"{""type"":""Point"",""coordinates"":[-7.93082664,40.92757979]}"
