,Point_ID,LC,LC0_Desc,LC1_Desc,LU1_Desc,x,y
18,26841758,F40,Bareland,Other bare soil,Fallow land,-8.46669349,37.1082318
20,26841826,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-8.63084954,37.70546324
36,27001936,F40,Bareland,Other bare soil,Fallow land,-8.72628189,38.70516812
49,27101940,F40,Bareland,Other bare soil,Fallow land,-8.62443932,38.76226676
89,27321784,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-8.0014154,37.4399432
200,27802116,F40,Bareland,Other bare soil,Forestry,-8.27896245,40.45639412
297,28082404,F40,Bareland,Other bare soil,Forestry,-8.73123893,43.03246401
303,28102276,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-8.35292896,41.9205438
315,28181874,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.25722835,38.41119899
330,28202160,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-7.93082664,40.92757979
346,28261904,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.23712629,38.69174635
367,28302282,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-8.1337802,42.01639762
388,28361904,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-7.12489953,38.71205135
461,28542192,F10,Bareland,Rocks and stones,Semi-natural and natural areas not in use,-7.61764414,41.27974826
540,28741912,F40,Bareland,Other bare soil,Fallow land,-6.71598534,38.85858578
554,28761906,F40,Bareland,Other bare soil,Fallow land,-6.6799167,38.80960861
567,28782118,F40,Bareland,Other bare soil,Fallow land,-7.15456621,40.67997882
611,28901850,F40,Bareland,Other bare soil,Fallow land,-6.39840066,38.34255565
624,28921858,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-6.39356076,38.41711369
674,29021750,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-6.05075702,37.48089123
676,29022110,F40,Bareland,Other bare soil,Fallow land,-6.85776586,40.65812421
733,29161738,F40,Bareland,Other bare soil,Fallow land,-5.8710877,37.40091941
736,29162260,F40,Bareland,Other bare soil,Fallow land,-7.06274897,42.0039924
740,29181692,F40,Bareland,Other bare soil,Fallow land,-5.75481019,36.99675343
742,29181908,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-6.21123543,38.9089554
749,29201738,F40,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),-5.82690278,37.40839423
776,29281840,F40,Bareland,Other bare soil,Fallow land,-5.95173404,38.32674738
