,B1,B2,B3,B4,B5,B6,B7,date
0,297.0,364.5,774.5,694.5,3143.5,2103.0,1162.5,1.0
1,905.5,1051.0,1646.0,2293.5,3429.5,4708.0,3504.0,1.0
2,904.0,1101.5,1822.0,2574.0,3533.5,4714.0,3489.5,1.0
3,463.0,549.0,1178.0,1026.0,4327.0,2478.0,1581.0,1.0
4,303.5,349.0,778.5,765.0,3184.5,2087.0,1190.5,1.0
5,361.0,574.5,991.0,1182.5,3064.0,2377.5,1459.0,1.0
6,692.0,930.0,1551.5,2292.5,3502.5,4562.5,3079.0,1.0
7,459.0,571.0,945.0,1165.0,2713.0,3158.0,2117.0,1.0
8,460.0,568.0,994.0,1156.0,3037.0,2681.0,1964.0,1.0
9,964.0,1113.0,1595.0,2029.0,3429.0,4132.0,3268.0,1.0
10,1013.0,1202.0,1744.0,2148.0,3898.0,4179.0,3276.0,1.0
11,503.0,618.0,1052.0,1145.0,3039.5,2644.5,1881.5,1.0
12,352.0,432.0,687.0,732.0,2468.0,2415.0,1523.0,1.0
13,335.0,423.0,745.0,794.0,3337.0,2397.0,1366.0,1.0
14,545.0,651.0,968.0,1100.0,3039.0,3034.0,2129.0,1.0
15,199.5,256.5,617.5,442.0,3051.0,1643.5,804.0,1.0
16,245.0,308.0,622.0,567.0,3317.0,1832.0,1022.0,1.0
17,606.0,853.0,1142.0,1439.0,2748.0,3238.0,2184.0,1.0
18,601.0,848.0,1361.0,1917.0,3035.0,3971.0,2712.0,1.0
19,421.0,484.0,718.0,832.0,1801.0,2568.0,1890.0,1.0
20,173.0,208.0,350.0,384.0,2595.0,1488.0,724.0,1.0
21,714.0,882.0,1392.0,1865.0,2804.0,3914.0,3072.0,1.0
22,793.0,969.0,1562.5,2011.0,2970.0,3820.5,2885.5,1.0
23,547.0,680.0,1096.0,1335.0,2413.0,2807.0,1919.0,1.0
24,237.0,319.0,553.0,596.0,2522.0,2142.0,1295.0,1.0
25,831.5,930.0,1173.5,1369.0,2797.5,3360.5,2134.5,1.0
26,560.0,643.0,843.0,1033.0,2364.0,3391.0,2340.0,1.0
27,409.0,536.0,771.0,1015.0,2078.0,3003.0,2044.0,1.0
28,489.0,557.0,720.0,819.0,2044.0,3032.0,2219.0,1.0
29,456.0,523.0,769.0,767.0,2508.0,2732.0,1803.0,1.0
30,342.0,435.0,657.0,731.0,2187.0,2897.0,1960.0,1.0
31,,,,,,,,1.0
32,188.0,261.0,644.0,582.0,3182.5,1569.5,806.0,1.0
33,589.0,794.0,1228.0,1766.0,3313.0,3729.0,2243.0,1.0
34,756.0,1103.0,1799.0,2596.0,4132.0,4454.0,2776.0,1.0
35,587.0,699.5,1127.0,1371.0,2137.5,2909.5,2415.0,1.0
36,228.0,304.5,472.0,523.5,1686.5,1931.5,1261.0,1.0
37,277.0,358.5,653.5,699.5,2184.0,2140.5,1399.5,1.0
38,313.0,393.0,611.0,744.0,1682.5,2390.0,1606.5,1.0
39,189.0,259.0,460.0,509.0,1567.0,1976.0,1253.0,1.0
